Age,Workclass,Education,Maritalstatus,Occupation,Relationship,Race,Sex,HoursPerWeek,Country,Income
22-30,State-gov,HS-grad,Never-married,Protective-serv,Not-in-family,Wxite,Male,40,United-xtates,LessThan50K
31-50,Local-gov,Assoc-acdm,Divorced,Protective-sxrv,Not-in-family,White,Male,56,United-States,LessThan50K
>50,Private,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,xale,50,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,Own-child,White,Male,x0,United-States,LessThan50K
18-21,?,12th,Never-marrixd,?,Own-child,White,Male,18-x1,United-States,LessThan50K
>50,Private,HS-grax,Married-civ-spoxse,Sales,Husband,White,Male,48,?,LessThan50K
31-50,Private,10th,Married-civ-spouse,Farmingxfishing,Husband,White,Male,35,Mexico,LessThan50K
31-50,Private,Bachelors,Widowed,Prof-xpecialty,Unmarried,White,Female,32,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,LessThan50K
>50,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,MoreThan50K
31-50,Privaxe,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,xnited-States,LessThan50K
31-50,Private,Some-cxllege,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,72,Mexico,LessThan50K
>50,Self-emp-not-inc,9th,Married-civ-spouse,Cxaft-repair,Husband,White,Male,45,xnited-States,LexsThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,65,United-States,MoreThan50K
31x50,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,38,United-States,LessThan50K
31-50,Federal-gov,Bachelors,Marrxed-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,Masters,Divorced,Exec-managexial,Not-in-family,White,Female,50,United-States,MoreThanx0K
31-50,xrivate,HS-grad,Never-married,Handlers-cleaners,Other-relative,Bxack,Male,40,United-States,LessThan50K
18-21,Private,Some-xollege,Never-married,Farming-fishing,Own-child,Black,Male,10,United-States,LessThan50K
31-50,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,36,United-States,LessThan50K
31-50,xrivate,Some-college,Divorced,Exec-managerial,Unmarried,White,Female,40,United-Staxes,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,MoreThan50K
31-50,State-gov,Bachelors,Never-married,Adm-clerical,Unmarried,Black,Femaxe,40,United-States,LessThan50K
22-30,Pxivate,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,42,United-States,MoreThan50K
22-30,Private,Assoc-acdm,Married-civ-sxouse,Handlers-cleaners,Husbaxd,White,Male,25,United-States,LessThan50K
x1-50,Private,Bachelors,Divorced,Prof-specialty,Unmarried,White,Female,45,?,LessThan50K
31-50,Prxvate,Masters,Never-married,Exec-managerial,Not-in-family,Whixe,Female,40,United-States,LessThan50K
18-2x,Private,HS-grad,Never-married,Sales,Own-child,White,Female,30,United-States,LessThan50K
>50,Private,5th-6th,xeparated,Machine-op-inspct,Other-relative,White,Female,40,Ecuador,LessThan50K
31-50,Private,Some-college,Married-cix-spouse,Transport-moving,Husband,White,Male,40,Germxny,LessThan50K
>50,Private,7th-8th,Widowed,Protective-serv,Not-in-family,White,Male,30,United-States,LessThan50K
22-30,Private,HS-grad,Separated,Exec-managerial,Unmarried,White,Female,42,United-States,LessThan50K
>50,Local-gov,HS-grad,Widowed,Adm-clerical,Unmarried,White,Female,25,United-States,LessThan50K
31-50,Privatx,HS-grad,Divorced,Farming-fishing,Unmarried,Black,Female,3x,United-States,LessThan50K
31-50,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,40,United-States,MoreThan50K
<18,Private,11th,Never-married,Salex,Own-child,White,Female,15,United-States,LessThan50K
31-50,Federal-gov,Hx-grad,Never-married,Exec-managerial,Not-in-family,Black,Female,4x,United-States,LessThan50K
>50,Self-emp-inc,Prof-school,Married-civ-spouse,Exex-managerial,Husband,White,Male,40,United-States,LessThan50K
>50,Fxderal-gov,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,xxec-managerial,Wife,White,Fexale,50,United-States,MoreThan50K
<x8,Private,11th,Neverxmarried,Sales,Own-child,White,Female,18-21,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Wxite,Male,50,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,x0,United-States,LessThan50K
22-30,Private,Assoc-voc,Mxrried-civ-spouse,Adm-clerical,Wife,White,Female,35,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Federax-gov,Some-college,Divorced,Exec-managerial,Unmarried,Black,Female,40,United-States,LessThan50K
22-30,Prxvate,HS-grad,Never-married,Traxsport-moving,Uxmarried,White,Malx,55,United-States,LessThan50x
22-30,Private,HSxgrad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,Unixed-States,LessThan50K
31-50,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,50,United-States,MoreThan50K
x1-50,xrivate,HS-grad,Never-married,Exec-managerial,Unmarried,xhite,Female,1x-21,England,LessThan50K
>50,Prxvate,Some-college,Wixowed,Sales,Not-in-family,White,Female,40,United-States,LessThan50K
>50,Self-emp-not-inc,7th-8th,Married-civ-spouse,Craxt-repair,Huxband,White,Male,40,United-States,LessThan50K
31-50,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,Whixe,Mxle,15,United-States,LessThan50K
>50,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,xale,40,United-States,MorxThan50K
22-30,Private,Bachelors,Neverxmarried,Prof-specialty,Own-child,White,Female,40,United-States,LessThan50K
31-50,Privxte,Masters,Married-civ-spouse,Sales,Husband,Whitx,Male,50,Unitxd-States,MoreThan50K
31x50,Local-gov,Bachelors,Maxried-civ-spouse,Protective-serv,Wife,Black,Female,40,United-States,MoreThan50K
22-30,?,Some-college,Never-married,?,Own-child,White,Male,40,United-States,LessThan50K
>50,Federal-gov,Some-college,Divorced,Adm-clxrical,Not-in-family,White,Female,40,United-States,LessThan50K
>50,Private,HS-grax,Married-civ-spouse,Farming-fishing,Husband,Whitx,Maxe,40,United-States,MoreThan50K
31-50,Private,Some-college,Married-civ-spouse,Sxles,Wife,White,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Nevex-married,Machine-op-inspct,Own-child,White,Malx,4x,United-States,LessThan50K
31-50,Private,HS-grad,Dxvorced,xraft-repair,Not-in-family,Asian-Pac-Islander,Male,40,United-States,MoreThan50K
>50,Self-emp-inc,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,50,United-States,LessThan50K
x1-50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,United-States,MoreThan50K
31-50,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Maxe,40,United-States,MoreThan50K
22-30,Private,HS-grad,Never-mxrried,Craft-repair,Unmarried,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,xessThan50K
31x50,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,4x,United-States,LessThan50K
31-50,State-gox,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,37,Unitxd-States,MoreThan50K
22-30,Private,Some-college,Separated,Adm-clerical,Not-in-family,White,Female,40,United-States,LessThan50K
22-30,Prxvate,HS-grad,Never-married,xarming-fishing,Own-child,White,Male,40,United-States,LessThan50K
31-50,Prxvate,Bachelors,Dixorced,Sales,Other-relative,Black,Male,40,United-States,LessThan50K
31-50,Self-emp-inc,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Maxe,x0,United-States,LessThan50K
22-30,Privxte,HS-grad,Never-married,Adm-clexical,Own-chixd,Whixe,Femxle,40,United-States,LessThan50K
31-50,Private,HS-grad,Separated,Machine-op-inspct,Nox-in-family,Black,Male,50,United-States,LessThan50K
3x-50,Self-emp-not-inc,HS-grad,Married-xiv-spouse,Exec-managerxal,Husband,White,Male,35,United-States,MoreThan50K
22-30,Private,Some-collegx,Never-married,Other-service,Not-in-family,Black,Male,x4,United-States,LessThan50K
22-30,xrivate,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,50,United-States,LessThan50K
31-50,Private,Somx-college,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Unitxd-States,MoreThan50K
>50,Private,5th-6th,Married-civ-spouse,Traxsport-moving,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,7th-8th,Married-civ-spouse,Sales,Other-relative,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Other-service,Not-in-family,Black,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,80,United-States,MoreThxn50K
31-50,Private,Bachelors,Married-civ-spouse,Other-service,Wife,White,Female,32,United-States,LessThan50K
31-50,Private,1xth,Never-married,Transport-moving,Unmarried,White,Male,40,United-States,LessThan50K
22-30,Private,Sxme-college,Never-married,Machine-op-inspct,Not-xn-family,White,Male,40,United-States,LessThan50K
>50,Private,HS-grad,Separated,Craft-repair,Not-in-family,White,Male,x5,United-States,LessThan50K
18-21,Private,Some-colxege,Married-civ-spouse,Adm-clerical,Other-rxlative,White,Femalx,18-21,United-States,Lessxhan50K
3x-50,Private,Some-college,Never-married,Exec-managerial,Unmarried,White,Male,60,United-States,LessThan50K
22-30,Private,HS-grxd,Divorxed,Sales,Unmarried,White,Female,40,United-States,LessThan50K
>50,Private,11th,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Separated,Craft-repair,Not-in-family,Wxite,Male,40,United-States,LessTxan50K
22-30,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,xale,60,United-States,LessThan50K
>50,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,18-21,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,45,El-Salvador,LessThan50K
31-50,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,60,United-States,LessThan50K
>x0,Self-emp-not-inc,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,40,United-States,LessThan50K
18-21,Private,xS-grad,Never-married,Sales,Own-child,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,40,xnited-States,LessThan50K
31-50,Private,HS-grad,Never-married,Craft-repair,Other-relative,Whixe,Male,40,Unitxd-States,LessThan50K
31-50,Private,Some-college,Divorced,Tech-suppxrt,Not-in-family,White,Femaxe,36,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Mxle,50,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Exec-managerial,Not-in-xamily,White,Male,60,United-States,LessThan50K
>50,Private,12th,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,United-States,MoreThan5xK
22-30,Private,10th,Nevex-married,Machine-op-inspct,Unmarried,White,Female,40,United-States,LessThan50K
3x-50,Prxvate,Some-college,Married-civ-spouse,Other-xervice,xusband,White,Male,57,Unitxd-States,MoreThan50K
31-50,Private,Bachelors,Divorced,Craft-repair,Not-in-family,White,Male,50,United-States,LessThan50K
22-3x,Private,Some-college,Married-civ-spouse,Sales,Husband,Black,Male,45,United-States,LessThan50K
x2-30,Private,HS-grad,Never-married,Hxndlers-cleaners,Own-child,White,Male,40,United-States,LessThan50K
31-50,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-xtates,MoreThan50K
>50,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,United-States,LessThan50K
31-50,Private,Somx-college,Divorced,Tech-support,Unmarried,White,Female,30,United-States,LessThan50K
31-50,Private,Masters,Divorced,Transport-moving,Not-in-family,White,Male,48,United-States,MoreThan50K
<18,Private,10th,Never-married,Other-service,Own-child,Wxite,Male,25,xnited-States,LessThan50K
>50,Private,5th-6th,Nevxr-married,Handlers-cleaners,Not-in-family,Black,Male,40,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,Own-chxld,White,Female,10,United-States,LessThan50K
>50,Prxvate,HS-grad,Married-cix-spouse,Sales,Husband,White,Male,40,United-States,MoreThan50K
31-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Maxe,50,United-States,LessThan50K
31-50,Private,12th,Never-married,Exec-managerial,Not-in-family,White,Male,50,United-States,LessTxan50K
31-50,Private,11th,Married-civ-spouse,Farming-fisxing,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,Assoc-acdm,Never-married,Transport-moving,Own-child,White,xale,60,United-States,LessThan50K
22-30,Private,Bachelors,Married-cxv-spouse,Prof-specialty,Husband,White,Male,40,?,LessThan50K
x2-30,Private,Some-college,Married-civ-spouse,Sales,Husxand,White,Male,50,United-States,LessThan50K
>5x,Private,HS-grad,Separated,Sales,Not-in-family,White,Femalx,33,United-States,LessThan50K
31-50,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Malx,40,United-States,LessThan50K
>50,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4x,India,LessThan50K
22-30,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,xusband,White,Male,40,United-States,MoreThan50K
>50,Prixate,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,40,Unixed-States,MoreThan50K
31-50,Private,Some-college,Never-married,Adm-clerical,Uxmarried,Black,Female,3x,United-States,LessThan50K
31-50,Private,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,White,Male,x0,United-States,LessThan50K
22-30,?,Some-college,Nexer-married,?,Own-child,White,Female,8,United-States,LessThan50K
22-30,Private,Assoc-acdm,Never-married,Handlers-cleaners,Not-in-family,White,Male,45,United-States,LessThan50K
22-30,Private,Some-college,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,xrivate,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,35,United-Stxtes,LessThan50K
31-50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,77,United-States,LessThan50K
31-50,Private,HS-grad,Never-married,Adm-clerical,Not-in-xamily,Whxte,Male,40,United-States,LesxThan50K
22-30,Private,Some-college,Never-married,Axm-clerical,Own-child,Other,xale,25,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,MoreThan50K
22-30,Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,40,United-States,MoreThan50K
>x0,Private,Bachelors,Dixorced,Exec-managxrial,Not-in-family,White,Female,5,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Self-emp-not-inc,HS-grad,Divorced,Sales,Not-in-family,White,Mxle,50,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Maxe,40,Puerto-Rico,LessThan50K
22-30,Private,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Maxe,40,United-States,MoreThan50K
31-50,Prxvate,Bachelxrs,Widowex,Exec-managerial,Unmarried,White,Male,18-21,United-States,LessThan50K
22-30,Private,Assoc-acdm,Never-married,Prox-specialty,Own-child,White,Male,40,France,LessThan50K
18-21,Private,Assoc-acdm,Never-married,Other-service,Not-ix-family,Black,Male,35,Jamaica,LessThan50K
31-50,Private,HS-grad,Married-civ-spoxse,Other-service,Husband,Whixe,Male,40,Trinadad&Tobago,LessThan50K
>50,State-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,LessThan50K
31-50,Private,Bachexors,Married-civ-spouse,Adm-clericax,xife,White,Female,40,United-States,LessThan50K
22-30,Private,Some-college,Married-spouse-absent,Sales,Unmarried,Other,Femalx,30,Ecuador,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,x5,United-States,MoreThan50K
18-21,Private,HS-grad,Never-xarried,Other-service,Not-in-family,White,Female,35,United-States,LessThan50K
31-50,Private,Assoc-acdm,Never-married,Prof-specialty,Not-in-family,White,Male,40,?,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,Male,40,United-States,Lessxhan50K
>50,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,38,United-Sxates,MoreThanx0K
31-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,LessThan50K
3x-50,Private,Some-college,Divorced,Prof-specialty,Unmarried,White,Female,40,United-States,LessThan50K
31-50,Private,Assoc-voc,Married-civ-spouse,Exec-managerial,xife,White,Femalx,55,United-States,MoreThan50K
22-30,xrivate,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Saxes,Husband,White,Maxe,40,United-States,MoreThan50K
31-50,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Other-relative,White,Female,40,United-States,LessThan50K
>50,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,Asian-Pac-Islander,Male,40,United-States,MoreThan50K
31-50,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,MoreThan50K
18-21,Privatx,Assoc-voc,Never-married,Other-service,Own-child,White,Female,44,United-States,LessThan50K
31-50,Private,Some-college,Divorced,Machine-op-inspct,Unmarried,White,Female,4x,United-States,LessThan50K
>50,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Black,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Never-married,Handlers-cleaners,Other-relative,White,Male,40,United-States,LessThan50K
>50,Private,HS-grad,Divorced,Protective-serv,Not-in-family,White,Male,18-21,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,UnitedxStates,MoreThan50K
31-50,Private,HS-grad,Separated,Prof-specialty,Other-relative,Black,Fxmale,40,United-States,LessThan50K
22-30,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Maxe,60,United-Statex,LessThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,Own-child,Black,Female,18-21,United-States,LexsThan50K
22-30,Private,HS-grad,Never-married,Exec-managerial,Other-relative,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,LessThan50K
>50,Private,HS-grad,Divorced,Otxer-service,Unmarrixd,White,Female,3x,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Exec-managerial,Other-relative,Black,Female,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,United-States,MoreThan50K
18-21,Private,Some-college,Never-married,Machine-op-inspct,Own-chilx,Whitx,Female,23,United-States,LessThan50K
22-30,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Sales,Husbanx,White,Malx,50,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-Sxates,LessThan50K
22-30,Private,Assoc-voc,Never-married,Tech-support,Owx-child,White,Female,36,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,MoreThan50K
31-50,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-Stxtes,MoreThan50K
31-50,?,HS-grad,Married-civ-spouse,?,Wife,Black,Female,45,United-States,LessThan50K
22-30,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,55,United-States,LessThan50K
31-50,Private,Some-college,Marrxed-civ-spouse,Exec-managerial,Wife,Black,Female,40,United-States,MoreThan50K
18-21,Private,11th,Never-married,Other-service,Own-child,White,Male,12,United-States,LessThan50K
>50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,United-States,MoreThan50K
22-30,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,x5,United-States,LessThan50K
31-50,Private,9th,Married-civ-spouse,Machine-ox-inspct,Husband,White,Male,40,Poland,LessThan50K
31x50,Private,HS-grad,Divorced,Craft-repair,Unmarried,White,Male,50,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Sales,Not-in-family,White,Male,x5,United-Statxs,LessThan50K
>50,Private,Some-college,Divxrced,Adm-clerical,Not-in-family,White,Female,40,United-States,LessThan50K
3x-50,Private,Some-college,Divorxed,Exec-managerial,Unmarried,xhite,Female,42,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Transport-moving,Hxsband,White,Male,4x,United-States,MoreThan50K
31-50,Private,10th,Divorced,Other-service,Not-in-family,White,Female,60,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Oxn-child,White,Male,18-21,United-States,LessThan50K
22-30,Privaxe,HS-grad,Separated,Adm-clerical,Other-relative,White,Male,46,United-States,LessThan50K
22-30,Private,Bachelors,Never-married,Salex,Not-in-family,Whitx,Female,55,United-States,LessThan50K
>50,Private,HS-grad,Widowed,Priv-house-serv,Unmarried,White,Female,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,40,United-States,LessThan50K
31-50,Federal-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,LessThan50K
>50,Local-gov,Masters,Never-married,Prof-specixlty,Not-in-family,White,Female,45,United-Statxs,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Transportxmoving,Husband,White,Male,60,United-States,LessThan50K
22-30,Private,10th,Married-AF-spouse,Other-service,Wife,White,Female,40,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Crxft-repair,Husband,White,Male,40,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,Own-child,White,Malx,10,United-States,LessThan50K
31-50,Federal-gov,HS-grad,Married-civ-spousx,Adm-clerical,Husband,White,Male,x0,United-States,LessThan50K
31-50,Private,Bachelors,Separated,Prof-specialty,Not-in-family,White,Male,50,United-States,MoreThan50K
31-50,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,United-States,MoreThan50K
18-21,Private,HS-grad,Never-married,Sales,Own-child,White,Female,x,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,Black,Femaxe,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Exxc-managerial,Husband,White,Male,40,United-States,MoreThan50K
31-50,Private,Some-college,Divorced,Sales,Unmarried,White,Female,40,United-States,LessThan5xK
31-50,Privaxe,HS-grad,Married-civ-spouse,Sales,Husband,White,Mxle,24,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,45,United-States,xessThan50K
31-50,Private,xssoc-acdm,Divorced,Craft-repair,Unmarried,White,Male,40,United-States,LessThan50K
22-30,Prixate,xoctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,United-States,MoreThan50K
31-50,Private,Assoc-acdm,Married-spouse-absent,Adm-clerical,Other-relative,White,Male,60,United-States,LessThan50K
>50,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,45,United-States,LessThan50K
22-30,?,Some-college,Never-married,?,Own-child,Black,Male,40,United-States,LessThan50K
31-50,Local-gov,Assoc-voc,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,LessThan50K
>50,Private,5th-6th,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,4x,United-States,LessThan50K
31-50,Self-emp-inc,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,50,United-States,MoreThan50K
22-30,Private,Somexcollege,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,Germany,MoreThan50K
31-50,Prxvate,HS-grad,Divorced,Machine-op-inspct,Not-in-faxily,White,xale,48,United-States,LessThan50K
>50,Private,HS-grad,Dxvorced,Exec-managerial,Unmarried,White,Female,40,United-States,LessThan50K
31-50,Lxcal-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Other,Male,40,United-States,MoreThan50K
22-30,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,LessThxn50K
31-50,Local-gov,Masters,Divorced,Prof-specialty,Not-in-family,Black,Male,40,Jamaica,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Trxnsport-moving,Husband,White,Male,60,United-States,MoreThan50K
31-50,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,55,United-States,LessThan50K
31-50,Privatx,Masters,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,65,Hong,MoreThan50K
31-50,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Malx,40,United-States,LessThan50K
22-30,Local-gov,Assoc-voc,Never-married,Adm-clericax,Own-child,White,Female,10,?,LxssThan50K
22-30,Self-emp-nox-inc,Some-college,Never-married,Prof-specialty,Own-child,White,Male,30,United-States,LessThan50K
31-50,Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Female,43,United-States,LessThan50K
31-50,Private,Doctorate,Married-civ-spouse,Prof-specixlty,Husband,White,Male,40,United-States,MoreThan50K
>50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,18-21,United-States,LessThan50K
31-50,Private,11th,Never-married,Prof-specialty,Unmarried,White,Female,30,Puerto-Rico,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
18-21,Private,12th,Never-married,Machine-op-inspct,Own-child,White,Male,30,United-States,LessThan50K
22-30,?,HS-grad,Married-civ-spousx,?,Wife,White,Female,25,United-States,LessThan50K
31-50,Private,Doctorate,Married-civ-spouse,Prof-specialxy,Husband,White,Male,60,United-States,LessThan50K
>50,Self-emp-inc,Some-coxlege,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,United-States,LessThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Hxsband,White,Maxe,50,United-States,MoreThan50K
31-50,Local-gov,Some-college,Divorced,Handlers-cleaners,Not-in-family,White,Male,50,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Crxft-repair,Husband,White,Male,4x,United-States,LessThan50K
31-50,Self-emp-inc,HS-grad,Married-civ-spouse,Adm-clerical,Husbaxd,White,Male,x0,xnited-States,MoreThan50K
22-30,Private,Some-college,Never-married,Prof-specialty,Not-in-family,White,Male,45,United-States,LessThan50K
22-30,Private,HS-grad,Divorced,Other-service,Unmarried,White,Male,40,United-States,LessThan50K
